"Extension name","Extension URL","Extension Description"
"Magento 2 – Cloudflare",https://github.com/jetrails/magento2-cloudflare,"Interact with popular Cloudflare features through Magento 2's backend portal."
"Rixxo IntroJS",https://bitbucket.org/rxmodules-development/rixxo-introjs/src/master/,"Add Google IntroJS to Magento2"
"Yireo GoogleTagManager2",https://github.com/yireo/Yireo_GoogleTagManager2,"Add Google Tag Manager to Magento2"
"Danslo CleanCheckout",https://github.com/danslo/CleanCheckout,"A drop-in replacement for the Magento 2 checkout"
"MageMojo cron project",https://github.com/magemojo/m2-ce-cron,"This module for Magento 2 overrides base Magento cron functionality, fixes known bugs, and provides a cron service model to control cron process execution."
MSP_SMTP,https://github.com/magespecialist/m2-MSP_SMTP,"MSP_SMTP is a module for Magento 2 allowing send mail via SMTP"
"Magento 2 SMTP by MagePal",https://github.com/magepal/magento2-gmail-smtp-app,"Configure Magento 2 to send email using custom SMTP server, Gmail, Amazon SES, Office365 and other"
"ElasticSuite for Magento 2",https://github.com/Smile-SA/elasticsuite,"A feature-rich merchandising suite for Magento 2."
"Magento 2 bash completion",https://github.com/yvoronoy/magento2-bash-completion,"This plugin adds autocompletion for Magento 2 CLI Sub Commands and their Options"
"Magento 2 Bash Install/Restore Script",https://github.com/yvoronoy/m2install,"A script designed to simplify the installation process of Magento 2 and rapid deployment of merchant code and DB dumps."
"Magento 2 Cron Job Manager",https://github.com/Ethan3600/magento2-CronjobManager,"A Cron Job Manager Module by Ethan Yehuda"
"MageSpecialist CodeMonkey",https://github.com/magespecialist/m2-MSP_CodeMonkey,"Magento 2 code generator"
"MageSpecialist DevTools for Magento 2",https://github.com/magespecialist/m2-MSP_DevTools,"intended to be used with [MSP Chrome Toolbar](https://github.com/magespecialist/mage-chrome-toolbar)"
"Mgt Developer Toolbar for Magento 2",https://github.com/mgtcommerce/Mgt_Developertoolbar,"A dev toolbar that shows all important information for performance optimization and Magento development."
"Magento 2 Deployer Plus",https://github.com/jalogut/magento2-deployer-plus,"Tool based on deployer.org to perform zero downtime deployments of Magento 2 projects"
"Magento 2 Easy Template Path Hints",https://github.com/MagePsycho/magento2-easy-template-path-hints,"Magento 2 module to enable the template path hints on the fly just by using query strings."
"Magento 2 Cache Clean",https://github.com/mage2tv/magento-cache-clean,"A faster drop-in replacement for bin/magento cache:clean with a file watcher"
AvS_DisableModules,https://github.com/avstudnitz/AvS_DisableModules,"Adds a shell command info:dependencies:show-removable which exports all modules which have no dependencies"
Fisheye_UrlRewriteOptimiser,https://github.com/fisheyehq/module-url-rewrite-optimiser,"A Magento module that stops URL rewrites with category paths being generated for products when 'Use Categories Path for Product URLs' setting is disabled in the config."
"MX Phinx Migrations",https://github.com/inviqa/MX_PhinxMigrations,"Integrates https://phinx.org/ migrations as a replacement for Magento's built-in setup upgrade process, enabling zero-downtime deployments."
"Elgento’s Regenerate Catalog URLs",https://github.com/elgentos/magento2-regenerate-catalog-urls,"Set of console commands to regenerate catalog URLs."
"Yireo ExtensionChecker",https://github.com/yireo/Yireo_ExtensionChecker,"Magento 2 module to check upon the code of Magento 2 modules from the CLI"
"Integer_Net Session Unblocker",https://github.com/integer-net/magento2-session-unblocker,"Module for Magento 2 that prevents session blocking between concurrent AJAX requests"
"Extension Dashboard",https://github.com/extdn/extension-dashboard-m2,"A Magento 2 dashboard to display installed extensions."
"Magento 2 Interceptor classes generator",https://github.com/creatuity/magento2-interceptors,"New interceptors approach for Magento 2"
"Yireo LinkPreload",https://github.com/yireo/Yireo_LinkPreload,"Magento 2 extension to set HTTP Link headers for primary resources to allow for HTTP/2 Server Push"
"CLI Plugin List for Magento 2",https://github.com/magento-hackathon/cli-plugin-list,"Get a good overview of plugins installed and be aware of their influence on your Magento 2 instance."
"Yireo DevHacks",https://github.com/yireo/Yireo_DevHacks,"Magento 2 module with various hacks and solutions for custom development"
BitExpert_ForceCustomerLogin,https://github.com/bitExpert/magento2-force-login,"Magento 2 module that forces customer login to see website pages."
"Magento2 Defer Javascripts",https://github.com/fballiano/magento2-defer-javascripts,"Defer Javascripts module for Magento 2"
